,column,1st_tile(<=)
0,%c1m,-0.006236
1,%c2m,-0.010643
2,%c3m,-0.012897
3,%c4m,-0.014726
4,%c5m,-0.015925
5,%c10m,-0.020890620000000002
6,%c15m,-0.023664
7,%c20m,-0.02598471
8,%c25m,-0.028092
9,%c30m,-0.02996
10,%c45m,-0.03432
11,%c60m,-0.03812098
12,%c75m,-0.041209
13,%c90m,-0.043891
14,%c105m,-0.045769
15,%c120m,-0.047961199999999996
16,%c135m,-0.049893
17,%c150m,-0.05217
18,%c165m,-0.054054
19,%c180m,-0.05623627
20,%c195m,-0.058728
21,%c210m,-0.06046747
22,%c225m,-0.06255533
23,%c240m,-0.06468908999999999
24,%c255m,-0.067016
25,%c270m,-0.06934981999999999
26,%c285m,-0.07182731
27,%c300m,-0.074627
28,%c315m,-0.07738833
29,%c330m,-0.080558
30,%c345m,-0.084357
31,%c360m,-0.089313
32,%c375m,-0.095491
